detector,pmt_index,sector
muveto,0,1
muveto,1,2
muveto,2,3
muveto,3,4
muveto,4,5
muveto,5,6
muveto,6,7
muveto,7,8
muveto,8,9
muveto,9,10
muveto,10,11
muveto,11,12
muveto,12,13
muveto,13,14
muveto,14,15
muveto,15,16
muveto,16,17
muveto,17,18
muveto,18,19
muveto,19,20
muveto,20,21
muveto,21,22
muveto,22,23
muveto,23,24
muveto,24,1
muveto,25,2
muveto,26,3
muveto,27,4
muveto,28,5
muveto,29,6
muveto,30,7
muveto,31,8
muveto,32,9
muveto,33,10
muveto,34,11
muveto,35,12
muveto,36,1
muveto,37,2
muveto,38,3
muveto,39,4
muveto,40,5
muveto,41,6
muveto,42,7
muveto,43,8
muveto,44,9
muveto,45,10
muveto,46,11
muveto,47,12
muveto,48,1
muveto,49,2
muveto,50,3
muveto,51,4
muveto,52,5
muveto,53,6
muveto,54,7
muveto,55,8
muveto,56,9
muveto,57,10
muveto,58,11
muveto,59,12
muveto,60,1
muveto,61,2
muveto,62,3
muveto,63,4
muveto,64,5
muveto,65,6
muveto,66,7
muveto,67,8
muveto,68,9
muveto,69,10
muveto,70,11
muveto,71,12
muveto,72,13
muveto,73,14
muveto,74,15
muveto,75,16
muveto,76,17
muveto,77,18
muveto,78,19
muveto,79,20
muveto,80,21
muveto,81,22
muveto,82,23
muveto,83,24
nveto,0,1
nveto,1,2
nveto,2,3
nveto,3,4
nveto,4,5
nveto,5,6
nveto,6,7
nveto,7,8
nveto,8,9
nveto,9,10
nveto,10,11
nveto,11,12
nveto,12,13
nveto,13,14
nveto,14,15
nveto,15,16
nveto,16,17
nveto,17,18
nveto,18,19
nveto,19,20
nveto,20,1
nveto,21,2
nveto,22,3
nveto,23,4
nveto,24,5
nveto,25,6
nveto,26,7
nveto,27,8
nveto,28,9
nveto,29,10
nveto,30,11
nveto,31,12
nveto,32,13
nveto,33,14
nveto,34,15
nveto,35,16
nveto,36,17
nveto,37,18
nveto,38,19
nveto,39,20
nveto,40,1
nveto,41,2
nveto,42,3
nveto,43,4
nveto,44,5
nveto,45,6
nveto,46,7
nveto,47,8
nveto,48,9
nveto,49,10
nveto,50,11
nveto,51,12
nveto,52,13
nveto,53,14
nveto,54,15
nveto,55,16
nveto,56,17
nveto,57,18
nveto,58,19
nveto,59,20
nveto,60,1
nveto,61,2
nveto,62,3
nveto,63,4
nveto,64,5
nveto,65,6
nveto,66,7
nveto,67,8
nveto,68,9
nveto,69,10
nveto,70,11
nveto,71,12
nveto,72,13
nveto,73,14
nveto,74,15
nveto,75,16
nveto,76,17
nveto,77,18
nveto,78,19
nveto,79,20
nveto,80,1
nveto,81,2
nveto,82,3
nveto,83,4
nveto,84,5
nveto,85,6
nveto,86,7
nveto,87,8
nveto,88,9
nveto,89,10
nveto,90,11
nveto,91,12
nveto,92,13
nveto,93,14
nveto,94,15
nveto,95,16
nveto,96,17
nveto,97,18
nveto,98,19
nveto,99,20
nveto,100,1
nveto,101,2
nveto,102,3
nveto,103,4
nveto,104,5
nveto,105,6
nveto,106,7
nveto,107,8
nveto,108,9
nveto,109,10
nveto,110,11
nveto,111,12
nveto,112,13
nveto,113,14
nveto,114,15
nveto,115,16
nveto,116,17
nveto,117,18
nveto,118,19
nveto,119,20
tpc,0,0
tpc,1,0
tpc,2,0
tpc,3,0
tpc,4,1
tpc,5,1
tpc,6,0
tpc,7,0
tpc,8,0
tpc,9,0
tpc,10,0
tpc,11,1
tpc,12,1
tpc,13,1
tpc,14,1
tpc,15,7
tpc,16,0
tpc,17,0
tpc,18,0
tpc,19,0
tpc,20,0
tpc,21,1
tpc,22,1
tpc,23,1
tpc,24,1
tpc,25,1
tpc,26,1
tpc,27,7
tpc,28,7
tpc,29,0
tpc,30,0
tpc,31,0
tpc,32,0
tpc,33,0
tpc,34,1
tpc,35,1
tpc,36,1
tpc,37,1
tpc,38,1
tpc,39,1
tpc,40,7
tpc,41,7
tpc,42,7
tpc,43,0
tpc,44,0
tpc,45,0
tpc,46,0
tpc,47,0
tpc,48,1
tpc,49,1
tpc,50,1
tpc,51,1
tpc,52,1
tpc,53,2
tpc,54,7
tpc,55,7
tpc,56,7
tpc,57,7
tpc,58,8
tpc,59,8
tpc,60,8
tpc,61,9
tpc,62,9
tpc,63,9
tpc,64,9
tpc,65,1
tpc,66,2
tpc,67,2
tpc,68,2
tpc,69,7
tpc,70,7
tpc,71,7
tpc,72,7
tpc,73,7
tpc,74,8
tpc,75,8
tpc,76,8
tpc,77,9
tpc,78,9
tpc,79,9
tpc,80,2
tpc,81,2
tpc,82,2
tpc,83,2
tpc,84,2
tpc,85,7
tpc,86,7
tpc,87,7
tpc,88,7
tpc,89,7
tpc,90,8
tpc,91,8
tpc,92,8
tpc,93,8
tpc,94,9
tpc,95,9
tpc,96,9
tpc,97,2
tpc,98,2
tpc,99,2
tpc,100,2
tpc,101,2
tpc,102,7
tpc,103,7
tpc,104,7
tpc,105,7
tpc,106,8
tpc,107,8
tpc,108,8
tpc,109,8
tpc,110,9
tpc,111,9
tpc,112,9
tpc,113,9
tpc,114,2
tpc,115,2
tpc,116,2
tpc,117,2
tpc,118,6
tpc,119,6
tpc,120,6
tpc,121,6
tpc,122,8
tpc,123,8
tpc,124,8
tpc,125,8
tpc,126,8
tpc,127,9
tpc,128,9
tpc,129,9
tpc,130,9
tpc,131,2
tpc,132,2
tpc,133,2
tpc,134,2
tpc,135,6
tpc,136,6
tpc,137,6
tpc,138,6
tpc,139,8
tpc,140,8
tpc,141,8
tpc,142,8
tpc,143,8
tpc,144,9
tpc,145,9
tpc,146,9
tpc,147,9
tpc,148,3
tpc,149,2
tpc,150,2
tpc,151,6
tpc,152,6
tpc,153,6
tpc,154,6
tpc,155,6
tpc,156,10
tpc,157,10
tpc,158,10
tpc,159,10
tpc,160,10
tpc,161,10
tpc,162,9
tpc,163,9
tpc,164,3
tpc,165,3
tpc,166,3
tpc,167,3
tpc,168,6
tpc,169,6
tpc,170,6
tpc,171,6
tpc,172,6
tpc,173,10
tpc,174,10
tpc,175,10
tpc,176,10
tpc,177,10
tpc,178,10
tpc,179,10
tpc,180,3
tpc,181,3
tpc,182,3
tpc,183,3
tpc,184,6
tpc,185,6
tpc,186,6
tpc,187,6
tpc,188,10
tpc,189,10
tpc,190,10
tpc,191,10
tpc,192,10
tpc,193,10
tpc,194,10
tpc,195,3
tpc,196,3
tpc,197,3
tpc,198,3
tpc,199,6
tpc,200,6
tpc,201,5
tpc,202,5
tpc,203,10
tpc,204,10
tpc,205,10
tpc,206,10
tpc,208,4
tpc,209,3
tpc,210,3
tpc,211,3
tpc,212,3
tpc,213,5
tpc,214,5
tpc,215,5
tpc,216,5
tpc,217,5
tpc,218,4
tpc,219,4
tpc,220,4
tpc,221,4
tpc,222,4
tpc,223,3
tpc,224,3
tpc,225,3
tpc,226,5
tpc,227,5
tpc,228,5
tpc,229,5
tpc,230,4
tpc,231,4
tpc,232,4
tpc,233,4
tpc,234,4
tpc,235,3
tpc,236,3
tpc,237,3
tpc,238,5
tpc,239,5
tpc,240,4
tpc,241,4
tpc,242,4
tpc,243,4
tpc,244,4
tpc,245,4
tpc,246,3
tpc,247,4
tpc,248,4
tpc,249,4
tpc,250,4
tpc,251,4
tpc,252,4
tpc,253,15
tpc,254,15
tpc,255,15
tpc,256,15
tpc,257,15
tpc,258,15
tpc,259,15
tpc,260,15
tpc,261,15
tpc,262,15
tpc,263,16
tpc,264,16
tpc,265,16
tpc,266,15
tpc,267,15
tpc,268,15
tpc,269,15
tpc,270,15
tpc,271,15
tpc,272,16
tpc,273,16
tpc,274,16
tpc,275,16
tpc,276,14
tpc,277,14
tpc,278,15
tpc,279,15
tpc,280,15
tpc,281,15
tpc,282,15
tpc,283,16
tpc,284,16
tpc,285,16
tpc,286,16
tpc,287,16
tpc,288,16
tpc,289,14
tpc,290,14
tpc,291,14
tpc,292,14
tpc,293,15
tpc,294,15
tpc,295,15
tpc,296,16
tpc,297,16
tpc,298,16
tpc,299,16
tpc,300,16
tpc,301,16
tpc,302,16
tpc,303,14
tpc,304,14
tpc,305,14
tpc,306,14
tpc,307,14
tpc,308,21
tpc,309,21
tpc,310,21
tpc,311,21
tpc,312,21
tpc,313,21
tpc,314,16
tpc,315,16
tpc,316,16
tpc,317,16
tpc,318,14
tpc,319,14
tpc,320,14
tpc,321,14
tpc,322,14
tpc,323,21
tpc,324,21
tpc,325,21
tpc,326,21
tpc,327,21
tpc,328,21
tpc,329,21
tpc,330,17
tpc,331,17
tpc,332,17
tpc,333,17
tpc,334,14
tpc,335,14
tpc,336,14
tpc,337,14
tpc,338,20
tpc,339,21
tpc,340,21
tpc,341,21
tpc,342,21
tpc,343,21
tpc,344,21
tpc,345,17
tpc,346,17
tpc,347,17
tpc,348,17
tpc,349,14
tpc,350,14
tpc,351,14
tpc,352,14
tpc,353,20
tpc,354,20
tpc,355,21
tpc,356,21
tpc,357,21
tpc,358,21
tpc,359,21
tpc,360,17
tpc,361,17
tpc,362,17
tpc,363,17
tpc,364,17
tpc,365,13
tpc,366,13
tpc,367,13
tpc,368,20
tpc,369,20
tpc,370,20
tpc,371,20
tpc,372,19
tpc,373,19
tpc,374,19
tpc,375,19
tpc,376,19
tpc,377,17
tpc,378,17
tpc,379,17
tpc,380,17
tpc,381,17
tpc,382,13
tpc,383,13
tpc,384,13
tpc,385,20
tpc,386,20
tpc,387,20
tpc,388,20
tpc,389,19
tpc,390,19
tpc,391,19
tpc,392,19
tpc,393,19
tpc,394,17
tpc,395,17
tpc,396,17
tpc,397,17
tpc,398,13
tpc,399,13
tpc,400,13
tpc,401,20
tpc,402,20
tpc,403,20
tpc,404,20
tpc,405,19
tpc,406,19
tpc,407,19
tpc,408,19
tpc,409,19
tpc,410,18
tpc,411,17
tpc,412,17
tpc,413,13
tpc,414,13
tpc,415,13
tpc,416,13
tpc,417,20
tpc,418,20
tpc,419,20
tpc,420,19
tpc,421,19
tpc,422,19
tpc,423,19
tpc,424,19
tpc,425,18
tpc,426,18
tpc,427,18
tpc,428,18
tpc,429,13
tpc,430,13
tpc,431,13
tpc,432,13
tpc,433,20
tpc,434,20
tpc,435,20
tpc,436,19
tpc,437,19
tpc,438,19
tpc,439,19
tpc,440,18
tpc,441,18
tpc,442,18
tpc,443,18
tpc,444,13
tpc,445,13
tpc,446,13
tpc,447,13
tpc,448,20
tpc,449,20
tpc,450,20
tpc,451,11
tpc,452,11
tpc,453,18
tpc,454,18
tpc,455,18
tpc,456,18
tpc,457,18
tpc,458,13
tpc,459,13
tpc,460,13
tpc,461,11
tpc,462,11
tpc,463,11
tpc,464,11
tpc,465,11
tpc,466,11
tpc,467,18
tpc,468,18
tpc,469,18
tpc,470,18
tpc,471,5
tpc,472,11
tpc,473,11
tpc,474,11
tpc,475,11
tpc,476,11
tpc,477,11
tpc,478,18
tpc,479,18
tpc,480,18
tpc,481,11
tpc,482,11
tpc,483,11
tpc,484,11
tpc,485,11
tpc,486,11
tpc,487,18
tpc,488,18
tpc,489,18
tpc,490,11
tpc,491,11
tpc,492,11
tpc,493,11

